,aReg  r0,aReg  r0 bReg  r0,aReg  r0 bReg  r1,aReg  r0 bReg  r2,aReg  r1,aReg  r1 bReg  r0,aReg  r1 bReg  r1,aReg  r1 bReg  r2,aReg  r2,aReg  r2 bReg  r0,aReg  r2 bReg  r1,aReg  r2 bReg  r2,bReg  r0,bReg  r1,bReg  r2
aReg  r0,95.652173913,0.0,0.0,0.0,4.34782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aReg  r0 bReg  r0,,,,,,,,,,,,,,,
aReg  r0 bReg  r1,,,,,,,,,,,,,,,
aReg  r0 bReg  r2,,,,,,,,,,,,,,,
aReg  r1,0.0,0.0,0.0,0.0,61.5384615385,0.0,0.0,7.69230769231,0.0,0.0,0.0,0.0,0.0,15.3846153846,15.3846153846
aReg  r1 bReg  r0,,,,,,,,,,,,,,,
aReg  r1 bReg  r1,,,,,,,,,,,,,,,
aReg  r1 bReg  r2,6.25,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,0.0,0.0,12.5,0.0
aReg  r2,,,,,,,,,,,,,,,
aReg  r2 bReg  r0,,,,,,,,,,,,,,,
aReg  r2 bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
aReg  r2 bReg  r2,,,,,,,,,,,,,,,
bReg  r0,,,,,,,,,,,,,,,
bReg  r1,0.0,0.0,0.0,0.0,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909091,0.0
bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,85.7142857143
