,L0 aRoom  r0,L0 aRoom  r0 bRoom  r0,L0 aRoom  r0 bRoom  r1,L0 aRoom  r0 bRoom  r2,L0 aRoom  r1,L0 aRoom  r1 bRoom  r0,L0 aRoom  r1 bRoom  r1,L0 aRoom  r1 bRoom  r2,L0 aRoom  r2,L0 aRoom  r2 bRoom  r0,L0 aRoom  r2 bRoom  r1,L0 aRoom  r2 bRoom  r2,L0 bRoom  r0,L0 bRoom  r1,L0 bRoom  r2,L1 aReg  d0,L1 aReg  d0 bReg  d0,L1 aReg  d0 bReg  d1,L1 aReg  d0 bReg  r0,L1 aReg  d0 bReg  r1,L1 aReg  d0 bReg  r2,L1 aReg  d1,L1 aReg  d1 bReg  d0,L1 aReg  d1 bReg  d1,L1 aReg  d1 bReg  r0,L1 aReg  d1 bReg  r1,L1 aReg  d1 bReg  r2,L1 aReg  r0,L1 aReg  r0 bReg  d0,L1 aReg  r0 bReg  d1,L1 aReg  r0 bReg  r0,L1 aReg  r0 bReg  r1,L1 aReg  r0 bReg  r2,L1 aReg  r1,L1 aReg  r1 bReg  d0,L1 aReg  r1 bReg  d1,L1 aReg  r1 bReg  r0,L1 aReg  r1 bReg  r1,L1 aReg  r1 bReg  r2,L1 aReg  r2,L1 aReg  r2 bReg  d0,L1 aReg  r2 bReg  d1,L1 aReg  r2 bReg  r0,L1 aReg  r2 bReg  r1,L1 aReg  r2 bReg  r2,L1 bReg  d0,L1 bReg  d1,L1 bReg  r0,L1 bReg  r1,L1 bReg  r2,L2 aReg  r0,L2 aReg  r0 bReg  r0,L2 aReg  r0 bReg  r1,L2 aReg  r0 bReg  r2,L2 aReg  r1,L2 aReg  r1 bReg  r0,L2 aReg  r1 bReg  r1,L2 aReg  r1 bReg  r2,L2 aReg  r2,L2 aReg  r2 bReg  r0,L2 aReg  r2 bReg  r1,L2 aReg  r2 bReg  r2,L2 bReg  r0,L2 bReg  r1,L2 bReg  r2
L0 aRoom  r0,81.8181818182,0.0,0.0,0.0,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0 aRoom  r0 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r0 bRoom  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r0 bRoom  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r1,33.3333333333,0.0,0.0,0.0,66.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0 aRoom  r1 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r1 bRoom  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r1 bRoom  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0 aRoom  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0 aRoom  r2 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
