,aReg  d0,aReg  d0 bReg  d0,aReg  d0 bReg  d1,aReg  d0 bReg  r0,aReg  d0 bReg  r1,aReg  d0 bReg  r2,aReg  d1,aReg  d1 bReg  d0,aReg  d1 bReg  d1,aReg  d1 bReg  r0,aReg  d1 bReg  r1,aReg  d1 bReg  r2,aReg  r0,aReg  r0 bReg  d0,aReg  r0 bReg  d1,aReg  r0 bReg  r0,aReg  r0 bReg  r1,aReg  r0 bReg  r2,aReg  r1,aReg  r1 bReg  d0,aReg  r1 bReg  d1,aReg  r1 bReg  r0,aReg  r1 bReg  r1,aReg  r1 bReg  r2,aReg  r2,aReg  r2 bReg  d0,aReg  r2 bReg  d1,aReg  r2 bReg  r0,aReg  r2 bReg  r1,aReg  r2 bReg  r2,bReg  d0,bReg  d1,bReg  r0,bReg  r1,bReg  r2
aReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d0 bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d0 bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d0 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d0 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d0 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1 bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1 bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  d1 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3756613757,0.0,0.0,0.0,0.0,0.0,11.1111111111,0.0,0.0,0.0,0.0,4.2328042328,0.0,0.0,0.0,0.0,2.1164021164,0.0,0.0,0.0,0.0,10.0529100529,11.1111111111
aReg  r0 bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r0 bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r0 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r0 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r0 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0869565217,0.0,0.0,0.0,0.0,13.0434782609,0.0,0.0,0.0,0.0,21.7391304348,0.0,0.0,0.0,0.0,8.69565217391,30.4347826087
aReg  r1 bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r1 bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r1 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r1 bReg  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r1 bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.125,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,7.8125,18.75
aReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r2 bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r2 bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r2 bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReg  r2 bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43396226415,0.0,0.0,0.0,0.0,41.5094339623,0.0,0.0,0.0,0.0,18.8679245283,0.0,0.0,0.0,0.0,7.54716981132,22.641509434
aReg  r2 bReg  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bReg  d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bReg  d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bReg  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0
bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.0,0.0,0.0,11.6666666667,0.0,0.0,0.0,0.0,24.1666666667,0.0,0.0,0.0,0.0,8.33333333333,0.0,0.0,0.0,0.0,9.16666666667,45.8333333333
