,aRoom  r0,aRoom  r0 bRoom  r0,aRoom  r0 bRoom  r1,aRoom  r0 bRoom  r2,aRoom  r1,aRoom  r1 bRoom  r0,aRoom  r1 bRoom  r1,aRoom  r1 bRoom  r2,aRoom  r2,aRoom  r2 bRoom  r0,aRoom  r2 bRoom  r1,aRoom  r2 bRoom  r2,bRoom  r0,bRoom  r1,bRoom  r2
aRoom  r0,87,0,0,0,2,0,0,11,0,0,3,0,0,1,3
aRoom  r0 bRoom  r0,4,0,0,0,0,0,0,7,0,0,6,0,0,1,5
aRoom  r0 bRoom  r1,0,0,0,0,3,0,0,2,0,0,4,0,0,1,4
aRoom  r0 bRoom  r2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5
aRoom  r1,5,0,0,0,19,0,0,4,0,0,1,0,0,8,16
aRoom  r1 bRoom  r0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,4
aRoom  r1 bRoom  r1,0,0,0,0,7,0,0,15,0,0,7,0,0,2,22
aRoom  r1 bRoom  r2,0,0,0,0,0,0,0,25,0,0,4,0,0,0,8
aRoom  r2,5,0,0,0,6,0,0,2,0,0,2,0,0,3,10
aRoom  r2 bRoom  r0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
aRoom  r2 bRoom  r1,0,0,0,0,0,0,0,3,0,0,3,0,0,1,14
aRoom  r2 bRoom  r2,1,0,0,0,0,0,0,4,0,0,3,0,0,0,3
bRoom  r0,3,0,0,0,2,0,0,6,0,0,1,0,0,2,5
bRoom  r1,2,0,0,0,6,0,0,6,0,0,4,0,0,14,10
bRoom  r2,0,0,0,0,1,0,0,3,0,0,0,0,0,2,5
