predicted RF,small AMDP planner time,small AMDP std dev,small No heuristic AMDP planner,small base std dev,small flat planner,small flat std dev,large AMDP planner time,large AMDP std dev,large No heuristic AMDP planner,large base std dev,large flat planner,large flat std dev
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 blockInRoom block0 room2,471.559,7.895875285,818.259,15.25069447,818.259,15.25069447,502.73,10.54141077,40575.478,748.739613,40575.478,748.739613
L2 blockInRegion block0 room2,81.871,3.464661651,632.792,12.48334317,818.259,15.25069447,62.577,1.423846224,28919.704,522.4744024,40575.478,748.739613
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L1 agentInRegion agent0 room1,106.087,2.37842583,363.717,13.77325034,162.541,4.423416363,123.366,3.748037626,4178.94,344.5701714,540.894,9.745982494
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room1,395.22,4.660850523,162.541,4.423416363,162.541,4.423416363,385.285,5.668421277,540.894,9.745982494,540.894,9.745982494

L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 blockInRoom block0 room1,346.764,4.587195473,335.333,7.788190426,335.333,7.788190426,246.8,5.554045373,1591.009,35.69755909,1591.009,35.69755909
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702

L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
L0 agentInRoom agent0 room0,103.273,1.323224271,101.509,2.046614258,101.509,2.046614258,34.124,0.3526763729,245.087,4.883113702,245.087,4.883113702
