proposition function,level solved at,small AMDP planner time,small AMDP std dev,small No heuristic AMDP planner,small base std dev,,large AMDP planner time,large AMDP std dev,large No heuristic AMDP planner,large base std dev
"agentInRoom(agent0, room0)",0,103.273,1.323224271,101.509,2.046614258,,34.124,0.3526763729,245.087,4.883113702
"agentInRoom(agent0, room0)",1,44.289,0.715683924,37.079,0.7660944844,,27.53,0.4700437214,138.388,3.533360363
"agentInRoom(agent0, room0)",2,40.055,0.7437432185,32.83,0.6853984972,,29.157,0.5736622273,99.3,2.732358322
"agentInRoom(agent0, room1)",0,395.22,4.660850523,162.541,4.423416363,,385.285,5.668421277,540.894,9.745982494
"agentInRoom(agent0, room1)",1,106.087,2.37842583,363.717,13.77325034,,123.366,3.748037626,4178.94,344.5701714
"agentInRoom(agent0, room1)",2,77.368,1.700207804,231.72,7.767196508,,71.521,1.694741738,2390.444,246.2475943
"agentInRoom(agent0, room2)",0,62.938,0.8605568871,2.085,0.02533327851,,2.145,0.02634340525,2.097,0.02568250377
"agentInRoom(agent0, room2)",1,19.049,0.2481221453,5.207,0.05706269359,,5.251,0.0569209891,5.213,0.05707566031
"agentInRoom(agent0, room2)",2,14.3,0.1483441944,5.401,0.06049957851,,5.722,0.08744550303,5.273,0.06155055646
"blockInRoom(block0, room0)",0,61.656,0.8016418552,2.114,0.02567107321,,2.151,0.02828778889,2.081,0.02569900776
"blockInRoom(block0, room0)",1,18.664,0.2328070102,5.21,0.05599910714,,5.221,0.05784599381,5.175,0.05580658563
"blockInRoom(block0, room0)",2,14.133,0.1516684245,5.579,0.08095529013,,5.303,0.0604912473,5.519,0.08702665684
"blockInRoom(block0, room1)",0,346.764,4.587195473,335.333,7.788190426,,246.8,5.554045373,1591.009,35.69755909
"blockInRoom(block0, room1)",1,134.098,2.975399872,107.392,2.513403337,,342.369,9.018645732,955.514,21.87424654
"blockInRoom(block0, room1)",2,64.4,1.323116019,180.036,4.211329565,,53.139,1.257022545,855.442,19.2441147
"blockInRoom(block0, room2)",0,471.559,7.895875285,818.259,15.25069447,,502.73,10.54141077,40575.478,748.739613
"blockInRoom(block0, room2)",1,181.573,10.39053755,839.321,16.69729158,,113.609,2.817598999,30903.437,546.7672478
"blockInRoom(block0, room2)",2,81.871,3.464661651,632.792,12.48334317,,62.577,1.423846224,28919.704,522.4744024
